"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Podwójne Ubezpieczenie",8.3,6.84,"Crime",7.12799016977777,8.13,7971,137492,"Billy Wilder","Fred MacMurray","Barbara Stanwyck","Edward G. Robinson","Byron Barr",0.684,0.83
"Obywatel Kane",8.3,7.51,"Drama",7.17959215705922,7.62,52047,384457,"Orson Welles","Orson Welles","Joseph Cotten","Dorothy Comingore","Agnes Moorehead",0.751,0.83
"M - Morderca",8.3,6.87,"Crime",7.19494674263067,8.24,9294,137185,"Fritz Lang","Peter Lorre","Ellen Widmann","Inge Landgut","Otto Wernicke",0.687,0.83
"Brzdąc",8.3,7.3,"Comedy",7.23025922473707,7.96,16252,106920,"Charles Chaplin","Charles Chaplin","Edna Purviance","Jackie Coogan","Carl Miller",0.73,0.83
"Green Book",8.2,8.08,"Biography",7.5702713824183,7.55,180542,326183,"Peter Farrelly","Viggo Mortensen","Mahershala Ali","Linda Cardellini","Sebastian Maniscalco",0.808,0.82
"Trzy Billboardy Za Ebbing, Missouri",8.2,7.81,"Drama",7.84472335431506,8.3,192649,401020,"Martin McDonagh","Frances McDormand","Woody Harrelson","Sam Rockwell","Caleb Landry Jones",0.781,0.82
"Klaus",8.2,7.67,"Animation",7.20899407868176,7.68,31370,69973,"Sergio Pablos","Jason Schwartzman","J.K. Simmons","Rashida Jones","Will Sasso",0.767,0.82
"Zimowy Sen",8.2,6.48,"Drama",6.74755974419387,7.63,5821,42945,"Nuri Bilge Ceylan","Haluk Bilginer","Melisa Sözen","Demet Akbag","Ayberk Pekcan",0.648,0.82
"Sekret Jej Oczu",8.2,6.92,"Drama",7.23149680775597,7.61,24360,185135,"Juan José Campanella","Ricardo Darín","Soledad Villamil","Pablo Rago","Carla Quevedo",0.692,0.82
"Wojownik",8.2,6.25,"Drama",7.80258009878601,7.22,1621,423355,"Gavin O'Connor","Tom Hardy","Nick Nolte","Joel Edgerton","Jennifer Morrison",0.625,0.82
"Odlot",8.2,6.32,"Animation",7.16141507026415,8.17,2682,901412,"Pete Docter","Edward Asner","Jordan Nagai","John Ratzenberger","Christopher Plummer",0.632,0.82
"Wilk Z Wall Street",8.2,7.66,"Biography",8.42272877321578,8.59,430693,1120166,"Martin Scorsese","Leonardo DiCaprio","Jonah Hill","Margot Robbie","Matthew McConaughey",0.766,0.82
"Aż Poleje Się Krew",8.2,7.5,"Drama",7.71800289252757,8.3,76065,495739,"Paul Thomas Anderson","Daniel Day-Lewis","Paul Dano","Ciarán Hinds","Martin Stringer",0.75,0.82
"Labirynt Fauna",8.2,7.25,"Drama",7.02738302979681,7.1,233864,601205,"Guillermo del Toro","Ivana Baquero","Ariadna Gil","Sergi López","Maribel Verdú",0.725,0.82
"V Jak Vendetta",8.2,7.35,"Action",7.78043226460727,7.38,281283,998655,"James McTeigue","Hugo Weaving","Natalie Portman","Rupert Graves","Stephen Rea",0.735,0.82
"Black",8.2,6.27,"Drama",7.4916848293078,8.13,1909,32518,"Sanjay Leela Bhansali","Amitabh Bachchan","Rani Mukerji","Shernaz Patel","Ayesha Kapoor",0.627,0.82
"Batman - Początek",8.2,7.55,"Action",7.6461408945275,8.68,339653,1264440,"Christopher Nolan","Christian Bale","Michael Caine","Ken Watanabe","Liam Neeson",0.755,0.82
"Upadek",8.2,7.23,"War",7.16221073324861,7.37,46441,164025,"Oliver Hirschbiegel","Bruno Ganz","Alexandra Maria Lara","Ulrich Matthes","Juliane Köhler",0.723,0.82
"Piękny Umysł",8.2,8.25,"Biography",7.88542787596183,7.64,481459,818572,"Ron Howard","Russell Crowe","Ed Harris","Jennifer Connelly","Christopher Plummer",0.825,0.82
"Porachunki",8.2,7.73,"Comedy",7.26211054310636,8.13,100256,519164,"Guy Ritchie","Jason Flemyng","Dexter Fletcher","Nick Moran","Jason Statham",0.773,0.82
"Tajemnice Los Angeles",8.2,7.47,"Crime",7.89302195640706,7.56,64354,516611,"Curtis Hanson","Kevin Spacey","Russell Crowe","Guy Pearce","Kim Basinger",0.747,0.82
"Gorączka",8.2,7.97,"Crime",7.97765146993854,8.09,145905,555424,"Michael Mann","Al Pacino","Robert De Niro","Val Kilmer","Jon Voight",0.797,0.82
"Kasyno",8.2,7.97,"Crime",7.9906951180763,8.59,152584,445434,"Martin Scorsese","Robert De Niro","Sharon Stone","Joe Pesci","James Woods",0.797,0.82
"Bez Przebaczenia",8.2,7.7,"Drama",8.17837071968952,8.59,84332,362354,"Clint Eastwood","Clint Eastwood","Gene Hackman","Morgan Freeman","Richard Harris",0.77,0.82
"Indiana Jones I Ostatnia Krucjata",8.2,7.63,"Action",7.67136717244271,8.11,237367,669679,"Steven Spielberg","Harrison Ford","Sean Connery","Alison Doody","Denholm Elliott",0.763,0.82
"Szklana Pułapka",8.2,7.28,"Action",7.64539209781001,8.13,105424,760765,"John McTiernan","Bruce Willis","Alan Rickman","Bonnie Bedelia","Reginald VelJohnson",0.728,0.82
"Ran",8.2,7.12,"Action",7.38261339092873,8.37,11369,106822,"Akira Kurosawa","Tatsuya Nakadai","Akira Terao","Jinpachi Nezu","Daisuke Ryû",0.712,0.82
"Wściekły Byk",8.2,7.63,"Biography",7.72067360264356,8.59,59738,309778,"Martin Scorsese","Robert De Niro","Cathy Moriarty","Joe Pesci","Frank Vincent",0.763,0.82
"Monty Python I Święty Graal",8.2,7.88,"Adventure",7.84175044298137,8.15,160233,486722,"Terry Gilliam","Graham Chapman","John Cleese","Eric Idle","Terry Gilliam",0.788,0.82
"Chinatown",8.2,7.64,"Drama",7.52081360908409,8.3,62638,282780,"Roman Polanski","Jack Nicholson","Faye Dunaway","John Huston","Perry Lopez",0.764,0.82
"Wielka Ucieczka",8.2,7.32,"Adventure",7.62566908440716,7.63,27148,216984,"John Sturges","Steve McQueen","James Garner","Richard Attenborough","Charles Bronson",0.732,0.82
"Zabić Drozda",8.2,7.43,"Crime",8.00353045013239,7.69,30442,286083,"Robert Mulligan","Gregory Peck","John Megna","Frank Overton","Rosemary Murphy",0.743,0.82
"Straż Przyboczna",8.2,7.04,"Action",7.70878074390727,8.37,10924,105509,"Akira Kurosawa","Toshirô Mifune","Eijirô Tôno","Tatsuya Nakadai","Yôko Tsukasa",0.704,0.82
"Wyrok W Norymberdze",8.2,6.92,"Drama",7.70418334992001,8.08,6705,66290,"Stanley Kramer","Spencer Tracy","Burt Lancaster","Richard Widmark","Marlene Dietrich",0.692,0.82
